keys,es,en,ko,pt_BR
   CLOSE   ,   CLOSE   ,   CLOSE,   닫기   ,   FECHAR   
   NEXT   ,   NEXT   ,   NEXT,   다음   ,   PRÓXIMO   
%02d:%02d,%02d:%02d,%02d:%02d,%02d:%02d,%02d:%02d
%d CÁPSULAS,%d CÁPSULAS,%d PODS,캡슐 %d개,%d CÁPSULAS
%d suggestions,%d suggestions,%d suggestions,제안 %d개,%d sugestões
%d/%d OCUP,%d/%d OCUP,%d/%d OCC,%d/%d 사용 중,%d/%d OCUP
"%s
%.1fms  N:%d  M:%d  L:%d  P:%d","%s
%.1fms  N:%d  M:%d  L:%d  P:%d","%s
%.1fms  N:%d  M:%d  L:%d  P:%d","%s
%.1fms  N:%d  M:%d  L:%d  P:%d","%s
%.1fms  N:%d  M:%d  L:%d  P:%d"
%s     ( PgUp / PgDn: page   |   T: sort ),%s     ( PgUp / PgDn: page   |   T: sort ),%s     ( PgUp / PgDn: page   |   T: sort ),%s     ( PgUp / PgDn: 페이지   |   T: 정렬 ),%s     ( PgUp / PgDn: página   |   T: ordenar )
%s Volviendo al menú...,%s Volviendo al menú...,%s Returning to menu...,%s 메뉴로 돌아갑니다...,%s Voltando ao menu...
%s · %d ALERTA,%s · %d ALERTA,%s · %d ALERT,%s · 경보 %d,%s · %d ALERTA
%s · NOMINAL,%s · NOMINAL,%s · NOMINAL,%s · 정상,%s · NOMINAL
%s: %s,%s: %s,%s: %s,%s: %s,%s: %s
0/28 OCUP · NOMINAL,0/28 OCUP · NOMINAL,0/28 OCC · NOMINAL,0/28 사용 중 · 정상,0/28 OCUP · NOMINAL
2 cube,2 cube,2 cube,2 cube,2 cube
<- Back,<- Back,<- Back,<- 뒤로,<- Voltar
AIRLOCK A,AIRLOCK A,AIRLOCK A,에어록 A,COMPORTA A
AIRLOCK-01,AIRLOCK-01,AIRLOCK-01,에어록-01,COMPORTA-01
ALERTA,ALERTA,ALERT,경보,ALERTA
APAGADA,APAGADA,OFF,꺼짐,DESLIGADA
APAGAR,APAGAR,TURN OFF,끄기,DESLIGAR
"ASCENSOR
N1","ASCENSOR
N1","ELEVATOR
L1","엘리베이터
1층","ELEVADOR
N1"
"ASCENSOR
N2","ASCENSOR
N2","ELEVATOR
L2","엘리베이터
2층","ELEVADOR
N2"
"ASCENSOR
N3","ASCENSOR
N3","ELEVATOR
L3","엘리베이터
3층","ELEVADOR
N3"
"ASCENSOR
N4","ASCENSOR
N4","ELEVATOR
L4","엘리베이터
4층","ELEVADOR
N4"
"ASCENSOR
N5","ASCENSOR
N5","ELEVATOR
L5","엘리베이터
5층","ELEVADOR
N5"
"ASCENSOR
N6","ASCENSOR
N6","ELEVATOR
L6","엘리베이터
6층","ELEVADOR
N6"
ATMÓSFERA: --,ATMÓSFERA: --,ATMOSPHERE: --,대기: --,ATMOSFERA: --
AUTO,AUTO,AUTO,자동,AUTO
AVISO DE PRIVACIDAD,AVISO DE PRIVACIDAD,PRIVACY NOTICE,개인정보 고지,AVISO DE PRIVACIDADE
Abrir instalador,Abrir instalador,Open installer,설치 프로그램 열기,Abrir instalador
Accionar,Accionar,Operate,작동,Acionar
Accionar terminal,Accionar terminal,Operate terminal,단말기 작동,Acionar terminal
Activar,Activar,Activate,활성화,Ativar
Actualización disponible,Actualización disponible,Update available,업데이트 있음,Atualização disponível
Actualizar ahora,Actualizar ahora,Update now,지금 업데이트,Atualizar agora
Actualizar y reiniciar,Actualizar y reiniciar,Update and restart,업데이트 후 재시작,Atualizar e reiniciar
Alternar pantalla,Alternar pantalla,Toggle screen,화면 전환,Alternar tela
Autocomplete: ,Autocomplete: ,Autocomplete:,자동완성: ,Autocompletar: 
BAT. BAJA,BAT. BAJA,LOW BAT.,배터리 부족,BAT. FRACA
BAT: [----------],BAT: [----------],BAT: [----------],BAT: [----------],BAT: [----------]
BAT: [||||||||||],BAT: [||||||||||],BAT: [||||||||||],BAT: [||||||||||],BAT: [||||||||||]
Bombear,Bombear,Pump,펌프 작동,Bombear
